"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","2002","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","154164"
"Expenditure on Gross National Income at Constant Market Prices","2003","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","90537"
"Expenditure on Gross National Income at Constant Market Prices","2003","92a Final consumption expenditure of Households and NPISHs","Euro Million","87911"
"Expenditure on Gross National Income at Constant Market Prices","2003","92b Final consumption expenditure of government","Euro Million","2861"
"Expenditure on Gross National Income at Constant Market Prices","2003","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","32380"
"Expenditure on Gross National Income at Constant Market Prices","2003","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","47822"
"Expenditure on Gross National Income at Constant Market Prices","2003","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1158"
"Expenditure on Gross National Income at Constant Market Prices","2003","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2003","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","152347"
"Expenditure on Gross National Income at Constant Market Prices","2003","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-136115"
"Expenditure on Gross National Income at Constant Market Prices","2003","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2003","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","196666"
"Expenditure on Gross National Income at Constant Market Prices","2003","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-26024"
"Expenditure on Gross National Income at Constant Market Prices","2003","101. Gross national product at constant market prices","Euro Million","173259"
"Expenditure on Gross National Income at Constant Market Prices","2003","102. EU subsidies - ESA code (D.3)","Euro Million","2783"
"Expenditure on Gross National Income at Constant Market Prices","2003","103. EU taxes - ESA code (D.2)","Euro Million","-198"
"Expenditure on Gross National Income at Constant Market Prices","2003","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","175749"
"Expenditure on Gross National Income at Constant Market Prices","2003","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-21665"
"Expenditure on Gross National Income at Constant Market Prices","2003","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","159912"
"Expenditure on Gross National Income at Constant Market Prices","2004","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","94158"
"Expenditure on Gross National Income at Constant Market Prices","2004","92a Final consumption expenditure of Households and NPISHs","Euro Million","91267"
"Expenditure on Gross National Income at Constant Market Prices","2004","92b Final consumption expenditure of government","Euro Million","3138"
"Expenditure on Gross National Income at Constant Market Prices","2004","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","32677"
"Expenditure on Gross National Income at Constant Market Prices","2004","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","52488"
"Expenditure on Gross National Income at Constant Market Prices","2004","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","410"
"Expenditure on Gross National Income at Constant Market Prices","2004","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2004","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","162281"
"Expenditure on Gross National Income at Constant Market Prices","2004","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-138707"
"Expenditure on Gross National Income at Constant Market Prices","2004","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2004","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","210015"
"Expenditure on Gross National Income at Constant Market Prices","2004","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-27367"
"Expenditure on Gross National Income at Constant Market Prices","2004","101. Gross national product at constant market prices","Euro Million","185515"
"Expenditure on Gross National Income at Constant Market Prices","2004","102. EU subsidies - ESA code (D.3)","Euro Million","2644"
"Expenditure on Gross National Income at Constant Market Prices","2004","103. EU taxes - ESA code (D.2)","Euro Million","-247"
"Expenditure on Gross National Income at Constant Market Prices","2004","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","187837"
"Expenditure on Gross National Income at Constant Market Prices","2004","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-23292"
"Expenditure on Gross National Income at Constant Market Prices","2004","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","170745"
"Expenditure on Gross National Income at Constant Market Prices","2005","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","100941"
"Expenditure on Gross National Income at Constant Market Prices","2005","92a Final consumption expenditure of Households and NPISHs","Euro Million","97677"
"Expenditure on Gross National Income at Constant Market Prices","2005","92b Final consumption expenditure of government","Euro Million","3530"
"Expenditure on Gross National Income at Constant Market Prices","2005","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","33843"
"Expenditure on Gross National Income at Constant Market Prices","2005","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","61326"
"Expenditure on Gross National Income at Constant Market Prices","2005","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","851"
"Expenditure on Gross National Income at Constant Market Prices","2005","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2005","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","171174"
"Expenditure on Gross National Income at Constant Market Prices","2005","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-156355"
"Expenditure on Gross National Income at Constant Market Prices","2005","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2005","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","222070"
"Expenditure on Gross National Income at Constant Market Prices","2005","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-29416"
"Expenditure on Gross National Income at Constant Market Prices","2005","101. Gross national product at constant market prices","Euro Million","195605"
"Expenditure on Gross National Income at Constant Market Prices","2005","102. EU subsidies - ESA code (D.3)","Euro Million","3221"
"Expenditure on Gross National Income at Constant Market Prices","2005","103. EU taxes - ESA code (D.2)","Euro Million","-312"
"Expenditure on Gross National Income at Constant Market Prices","2005","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","198407"
"Expenditure on Gross National Income at Constant Market Prices","2005","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-26017"
"Expenditure on Gross National Income at Constant Market Prices","2005","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","178572"
"Expenditure on Gross National Income at Constant Market Prices","2006","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","107477"
"Expenditure on Gross National Income at Constant Market Prices","2006","92a Final consumption expenditure of Households and NPISHs","Euro Million","103916"
"Expenditure on Gross National Income at Constant Market Prices","2006","92b Final consumption expenditure of government","Euro Million","3842"
"Expenditure on Gross National Income at Constant Market Prices","2006","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","35328"
"Expenditure on Gross National Income at Constant Market Prices","2006","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","65748"
"Expenditure on Gross National Income at Constant Market Prices","2006","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1716"
"Expenditure on Gross National Income at Constant Market Prices","2006","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2006","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","181532"
"Expenditure on Gross National Income at Constant Market Prices","2006","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-170898"
"Expenditure on Gross National Income at Constant Market Prices","2006","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2006","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","233146"
"Expenditure on Gross National Income at Constant Market Prices","2006","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-29696"
"Expenditure on Gross National Income at Constant Market Prices","2006","101. Gross national product at constant market prices","Euro Million","206707"
"Expenditure on Gross National Income at Constant Market Prices","2006","102. EU subsidies - ESA code (D.3)","Euro Million","2440"
"Expenditure on Gross National Income at Constant Market Prices","2006","103. EU taxes - ESA code (D.2)","Euro Million","-331"
"Expenditure on Gross National Income at Constant Market Prices","2006","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","208767"
"Expenditure on Gross National Income at Constant Market Prices","2006","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-28971"
"Expenditure on Gross National Income at Constant Market Prices","2006","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","185893"
"Expenditure on Gross National Income at Constant Market Prices","2007","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","114822"
"Expenditure on Gross National Income at Constant Market Prices","2007","92a Final consumption expenditure of Households and NPISHs","Euro Million","110852"
"Expenditure on Gross National Income at Constant Market Prices","2007","92b Final consumption expenditure of government","Euro Million","4267"
"Expenditure on Gross National Income at Constant Market Prices","2007","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","37474"
"Expenditure on Gross National Income at Constant Market Prices","2007","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","65768"
"Expenditure on Gross National Income at Constant Market Prices","2007","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1033"
"Expenditure on Gross National Income at Constant Market Prices","2007","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2007","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","197691"
"Expenditure on Gross National Income at Constant Market Prices","2007","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-186879"
"Expenditure on Gross National Income at Constant Market Prices","2007","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2007","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","245527"
"Expenditure on Gross National Income at Constant Market Prices","2007","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-34412"
"Expenditure on Gross National Income at Constant Market Prices","2007","101. Gross national product at constant market prices","Euro Million","214382"
"Expenditure on Gross National Income at Constant Market Prices","2007","102. EU subsidies - ESA code (D.3)","Euro Million","2236"
